date,volume,open,high,low,close
2022-07-22,963000,15.0,15.4,15.0,15.1
2022-07-25,590000,15.1,15.35,15.0,15.1
2022-07-26,556000,15.1,15.15,14.75,14.8
2022-07-27,320000,14.85,15.1,14.8,15.1
2022-07-28,342000,15.15,15.25,14.95,14.95
2022-07-29,249000,15.0,15.1,14.95,15.05
2022-08-01,1520000,15.2,15.9,15.1,15.85
2022-08-02,692000,15.7,15.7,15.2,15.35
2022-08-03,575000,15.3,15.35,14.85,14.9
2022-08-04,357000,15.0,15.05,14.6,14.95
2022-08-05,342000,14.95,15.2,14.95,15.2
2022-08-08,244000,15.25,15.35,15.05,15.35
2022-08-09,144000,15.25,15.35,15.1,15.15
2022-08-10,269000,15.15,15.35,15.1,15.25
2022-08-11,499000,15.6,15.7,15.5,15.55
2022-08-12,1983000,15.65,16.2,15.6,15.95
2022-08-15,1186000,16.0,16.45,16.0,16.3
2022-08-16,777000,16.4,16.4,15.9,15.95
2022-08-17,723000,15.95,16.5,15.95,15.95
2022-08-18,303000,15.95,16.2,15.95,16.1
2022-08-19,243000,16.2,16.2,16.05,16.15
2022-08-22,314000,16.05,16.05,15.85,15.9
2022-08-23,331000,15.7,15.8,15.55,15.7
2022-08-24,280000,15.8,16.0,15.7,15.8
2022-08-25,167000,15.85,15.95,15.8,15.85
2022-08-26,262000,15.9,16.0,15.75,15.75
2022-08-29,537000,15.45,15.45,14.95,15.0
2022-08-30,331000,15.2,15.25,15.05,15.1
2022-08-31,208000,15.1,15.15,14.9,15.1
2022-09-01,165000,15.0,15.05,14.85,14.85
2022-09-02,343000,14.95,14.95,14.65,14.65
2022-09-05,438000,14.65,14.65,14.3,14.35
2022-09-06,159000,14.4,14.6,14.2,14.3
2022-09-07,228000,14.5,14.65,14.3,14.5
2022-09-08,815000,15.0,15.4,14.95,15.2
2022-09-12,857000,15.4,15.9,15.4,15.85
2022-09-13,843000,16.0,16.3,16.0,16.2
2022-09-14,932000,15.85,16.35,15.65,16.35
2022-09-15,654000,16.4,16.5,16.3,16.35
2022-09-16,367000,16.2,16.3,15.95,16.0
2022-09-19,450000,16.05,16.4,16.0,16.05
2022-09-20,193000,16.15,16.2,15.9,15.95
2022-09-21,134000,15.95,15.95,15.75,15.8
2022-09-22,153000,15.8,15.85,15.6,15.8
